树号,组员,字数,书名
1号,加油啃书的李秋天,1,《飘》
1号,半岛铁盒,2,《圣母》
1号,阿悦,3,《九篇雪》
1号,洗礼,4,《六朝文絮》
1号,小免,5,《疾病的隐喻》
1号,大葫芦,6,《一切愁云消散》
1号,Qy %,7,《洋果子店的午后》
1号,,8,《在阿尔巴尼亚长大》
1号,白白,9,《今天我不愿面对自己》
1号,Key,10,《肉桂色铺子及其他故事》
1号,,11,《如果我们无法以光速前进》
1号,喵喵,12,《每一句话语都坐着别的眼睛》
2号,不系之舟,1,《信》
2号,梨花先雪,2,《逃离》
2号,鱼摆摆会梦见吃杨梅,3,《雷峰塔》
2号,tree,4,《白鹤亮翅》
2号,语不惊人死不休,5,《油炸绿番茄》
2号,春日不迟,6,《伍尔夫阅读课》
2号,蒋闪闪,7,《历史与阶级意识》
2号,每天都想睡觉,8,《狐狸那时已是猎人》
2号,薯条,9,《温德米尔夫人的扇子》
2号,薯条,10,《上野千鹤子的午后时光》
2号,静溪,11,《大众文化的女性主义指南》
2号,Mia,12,《午夜北平：民国奇案一九三七》
3号,人参和醋不相逢,1,《心》
3号,兔,2,《白夜》
3号,海豹,3,《纸帐篷》
3号,Candice森,4,《夜航西飞》
3号,yugami,5,《东京八平米》
3号,阎倾,6,《阅读浪漫小说》
3号,大琳,7,《狐狸在夜晚来临》
3号,,8,《世上最美的溺水者》
3号,Stultifera Navis,9,《你当像鸟飞往你的山》
3号,白日梦εïзᝰ,10,《女性卫生用品的社会史》
3号,雪落于水,11,《存在主义是一种人道主义》
3号,糯米大福说她会,12,《欧里庇得斯悲剧集2:美狄亚》
4号,小胖雀儿,1,《爱》
4号,壹壹,2,《看见》
4号,李英俊,3,《钟形罩》
4号,李英俊,4,《恶女书架》
4号,壹壹,5,《娜拉在中国》
4号,姜来,6,《夏日木屋札记》
4号,壹壹,7,《布鲁克林有棵树》
4号,小胖雀儿,8,《和语言的漫步日记》
4号,小胖雀儿,9,《大河移民上访的故事》
4号,壹壹,10,《巴黎评论女性作家访谈》
4号,李英俊,11,《我准备好了变老也没关系》
4号,卓卓,12,《每一句话语都坐着别的眼睛》
5号,yugami,1,《白》
5号,Candice森,2,《沧城》
5号,兔子,3,《大河湾》
5号,自渡,4,《彩云之南》
5号,关关,5,《成为波伏瓦》
5号,梅梅,6,《生态女性主义》
5号,逢舟,7,《拥有快乐的秘密》
5号,小胖雀儿,8,《芭芭雅嘎下了个蛋》
5号,步步,9,《我的灵魂骑在纸背上》
5号,Yaa,10,《世上为什么要有图书馆》
5号,,11,《猫咪会吃掉我的眼珠子吗》
5号,sn,12,《逊色：科学对女性做错了什么》
5号,,13,《可能性的艺术：比较政治学30讲》
5号,李英俊,14,《别想摆脱书：艾柯、卡里埃尔对话录》
